book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
69IyAgAAQBAJ,python,"Introduction to Computation and Programming Using Python, revised and expanded edition",,John V. Guttag,"An introductory text that teaches students the art of computational problem solving, covering topics that range from simple algorithms to information visualization. This book introduces students with little or no prior programming experience to the art of computational problem solving using Python and various Python libraries, including PyLab. It provides students with skills that will enable them to make productive use of computational techniques, including some of the tools and techniques of “data science” for using computation to model and interpret data. The book is based on an MIT course (which became the most popular course offered through MIT's OpenCourseWare) and was developed for use not only in a conventional classroom but in a massive open online course (or MOOC) offered by the pioneering MIT-Harvard collaboration edX. Students are introduced to Python and the basics of programming in the context of such computational concepts and techniques as exhaustive enumeration, bisection search, and efficient approximation algorithms. The book does not require knowledge of mathematics beyond high school algebra, but does assume that readers are comfortable with rigorous thinking and not intimidated by mathematical concepts. Although it covers such traditional topics as computational complexity and simple algorithms, the book focuses on a wide range of topics not found in most introductory texts, including information visualization, simulations to model randomness, computational techniques to understand data, and statistical techniques that inform (and misinform) as well as two related but relatively advanced topics: optimization problems and dynamic programming. Introduction to Computation and Programming Using Python can serve as a stepping-stone to more advanced computer science courses, or as a basic grounding in computational problem solving for students in other disciplines.","ISBN_13:9780262316668, ISBN_10:0262316668",True,True,315,Computers,en,http://books.google.com/books/content?id=69IyAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,NOT_FOR_SALE,False,0,,0,,,2013,MIT Press
SblIEAAAQBAJ,python,Let Us Python,,"Kanetkar Aditya Yashavant, Kanetkar","Learn Python Quickly, A Programmer-Friendly GuideDESCRIPTIONMost Programmer's learning Python are usually comfortable with some or the other programming language and are not interested in going through the typical learning curve of learning the first programming language. Instead, they are looking for something that can get them off the ground quickly. They are looking for similarities and differences in a feature that they have used in other language(s). This book should help them immediately. It guides you from the fundamentals of using module through the use of advanced object orientation. KEY FEATURESStrengthens the foundations, as detailed explanation of programming language concepts are given in simple manner. Lists down all the important points that you need to know related to various topics in an organized manner.Prepares you for coding related interview and theoretical questions.Provides In depth explanation of complex topics and Questions.Focuses on how to think logically to solve a problem.Follows a systematic approach that will help you to prepare for an interview in short duration of time.Exercises are exceptionally useful to complete the reader's understanding of a topic. WHAT WILL YOU LEARNData types, Control flow instructions, console & File Input/OutputStrings, list & tuples, List comprehensionSets & Dictionaries, Functions & LambdasDictionary ComprehensionModules, classes and objects, InheritanceOperator overloading, Exception handlingIterators & Generators, Decorators, Command-line Parsing WHO THIS BOOK IS FORStudents, Programmers, researchers, and software developers who wish to learn the basics of Python programming language. Table of Contents 1. Introduction to Python2. Python Basics 3. Strings4. Decision Control Instruction5. Repetition Control Instruction6. Console Input/Output7. Lists8. Tuples9. Sets10. Dictionaries11. Comprehensions12. Functions13. Recursion14. Functional Programming15. Modules and Packages16. Namespaces17. Classes and Objects18. Intricacies of Classes and Objects19. Containership and Inheritance20. Iterators and Generators21. Exception Handling22. File Input/Output 23. Miscellany24. Multi-threading25. SynchronizationAUTHOR BIOYashavant KanetkarThrough his books and Quest Video Courses on C, C++, Java, Python, Data Structures, .NET, IoT, etc. Yashavant Kanetkar has created, moulded and groomed lacs of IT careers in the last three decades. Yashavant's books and Quest videos have made a significant contribution in creating top-notch IT manpower in India and abroad.Yashavant's books are globally recognized and millions of students / professionals have benefitted from them. Yashavant's books have been translated into Hindi, Gujarati, Japanese, Korean and Chinese languages. Many of his books are published in India, USA, Japan, Singapore, Korea and China.Yashavant is a much sought after speaker in the IT field and has conducted seminars/workshops at TedEx, IITs, IIITs, NITs and global software companies.Yashavant has been honored with the prestigious ""e;Distinguished Alumnus Award""e; by IIT Kanpur for his entrepreneurial, professional and academic excellence. This award was given to top 50 alumni of IIT Kanpur who have made significant contribution towards their profession and betterment of society in the last 50 years. In recognition of his immense contribution to IT education in India, he has been awarded the ""e;Best .NET Technical Contributor""e; and ""e;Most Valuable Professional""e; awards by Microsoft for 5 successive years.Yashavant holds a BE from VJTI Mumbai and M.Tech. from IIT Kanpur. Yadhavant's current affiliations include being a Director of KICIT Pvt Ltd. And KSET Pvt Ltd.His Linkedin profile: linkedin.com/in/yashavant-kanetkar-9775255 Aditya KanetkarAditya Kanetkar is currently working as a backend Software Engineer at Microsoft, Redmond, USA. He has been designing distributed systems software for the last 4 years. He has worked at multiple companies in the past, including Oracle, Redfin, Amazon and Arista Networks.Aditya holds a Master's Degree in Computer Science from Georgia Tech, Atlanta and a Bachelor's Degree in Computer Science and Engineering from IIT Guwahati. His current passion is anything remotely connected to Python, Machine Learning, Distributed Systems, Cloud Computing and and C# related technologies.His Linkedin Profile: linkedin.com/in/aditya-kanetkar-a4292397","ISBN_13:9789389845037, ISBN_10:9389845033",True,True,390,Computers,en,http://books.google.com/books/content?id=SblIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,True,987.06,INR,493.53,INR,https://play.google.com/store/books/details?id=SblIEAAAQBAJ&rdid=book-SblIEAAAQBAJ&rdot=1&source=gbs_api,2020,BPB Publications
bKUbEAAAQBAJ,python,Programming and Problem Solving using Python,,Anuradha A. Puntambekar,"This textbook is designed to learn python programming from scratch. At the beginning of the book general problem solving concepts such as types of problems, difficulties in problem solving, and problem solving aspects are discussed. From this book, you will start learning the Python programming by knowing about the variables, constants, keywords, data types, indentation and various programming constructs. The most commonly used types such as Lists, Tuples, dictionaries are also discussed with necessary examples and illustrations. The book includes the concepts of functions, lambda functions, modules and strings. In the later part of this book the concept of object oriented programming using Python is discussed in detail. Finally how to handle files and directories using Python is discussed. At the end of book some sample programs in Python are given that are based on the programming constructs. Python will be most demanded language after Java in future. So learning Python is need for today’s software professionals. This book serves the purpose of teaching Python programming in the simplest and easiest manner.","ISBN_13:9789333223829, ISBN_10:9333223827",False,True,235,Computers,en,http://books.google.com/books/content?id=bKUbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,NOT_FOR_SALE,False,0,,0,,,2020,Technical Publications
mh0bU6NXrBgC,python,Core Python Programming,,Wesley Chun,"Experts and novices alike will be able to find information about every command they'll need to use Linux. This complete, practical desk reference is organized by function, with a road map-style alphabetical reference for quick access of information about all aspects of running and administering the program. The CD-ROM contains Windows and Linux Python distributions plus extensive cross-platform source code from the book.","ISBN_13:9780130260369, ISBN_10:0130260363",False,True,805,Computers,en,http://books.google.com/books/content?id=mh0bU6NXrBgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,12,3.5,IN,NOT_FOR_SALE,False,0,,0,,,2001,Prentice Hall Professional
DjxZEAAAQBAJ,python,The Python Book,,Rob Mastrodomenico,"The Python Book Discover the power of one of the fastest growing programming languages in the world with this insightful new resource The Python Book delivers an essential introductory guide to learning Python for anyone who works with data but does not have experience in programming. The author, an experienced data scientist and Python programmer, shows readers how to use Python for data analysis, exploration, cleaning, and wrangling. Readers will learn what in the Python language is important for data analysis, and why. The Python Book offers readers a thorough and comprehensive introduction to Python that is both simple enough to be ideal for a novice programmer, yet robust to be useful for those more experienced in the language. The book assists budding programmers to gradually increase their skills as they move through the book, always with an understanding of what they are covering and why it is useful. Used by major companies like Google, Facebook, Instagram, Spotify, and more, Python promises to remain central to the programming landscape for years to come. Containing a thorough discussion of Python programming topics like variables, equalities and comparisons, tuple and dictionary data types, while and for loops, and if statements, readers will also learn: How to use highly useful Python programming libraries, including Pandas and Matplotlib How to write Python functions and classes How to write and use Python scripts To deal with different data types within Python Perfect for statisticians, computer scientists, software programmers, and practitioners working in private industry and medicine, The Python Book will also be of interest to students in any of the aforementioned fields. As it assumes no programming experience or knowledge, the book is ideal for those who work with data and want to learn to use Python to enhance their work.","ISBN_13:9781119573289, ISBN_10:1119573289",True,True,348,Mathematics,en,http://books.google.com/books/content?id=DjxZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,True,5766.66,INR,5766.66,INR,https://play.google.com/store/books/details?id=DjxZEAAAQBAJ&rdid=book-DjxZEAAAQBAJ&rdot=1&source=gbs_api,2022,John Wiley & Sons
hbJ5DwAAQBAJ,python,Introduction to Python Programming,,"Gowrishankar S, Veena A","Introduction to Python Programming is written for students who are beginners in the field of computer programming. This book presents an intuitive approach to the concepts of Python Programming for students. This book differs from traditional texts not only in its philosophy but also in its overall focus, level of activities, development of topics, and attention to programming details. The contents of the book are chosen with utmost care after analyzing the syllabus for Python course prescribed by various top universities in USA, Europe, and Asia. Since the prerequisite know-how varies significantly from student to student, the book’s overall overture addresses the challenges of teaching and learning of students which is fine-tuned by the authors’ experience with large sections of students. This book uses natural language expressions instead of the traditional shortened words of the programming world. This book has been written with the goal to provide students with a textbook that can be easily understood and to make a connection between what students are learning and how they may apply that knowledge. Features of this book This book does not assume any previous programming experience, although of course, any exposure to other programming languages is useful This book introduces all of the key concepts of Python programming language with helpful illustrations Programming examples are presented in a clear and consistent manner Each line of code is numbered and explained in detail Use of f-strings throughout the book Hundreds of real-world examples are included and they come from fields such as entertainment, sports, music and environmental studies Students can periodically check their progress with in-chapter quizzes that appear in all chapters","ISBN_13:9781351013215, ISBN_10:1351013211",True,True,410,Computers,en,http://books.google.com/books/content?id=hbJ5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,NOT_FOR_SALE,False,0,,0,,,2018,CRC Press
nEJ-jcYF2fMC,python,Learning Python,,Mark Lutz,"Portable, powerful, and a breeze to use, Python is ideal for both standalone programs and scripting applications. With this hands-on book, you can master the fundamentals of the core Python language quickly and efficiently, whether you're new to programming or just new to Python. Once you finish, you will know enough about the language to use it in any application domain you choose. Learning Python is based on material from author Mark Lutz's popular training courses, which he's taught over the past decade. Each chapter is a self-contained lesson that helps you thoroughly understand a key component of Python before you continue. Along with plenty of annotated examples, illustrations, and chapter summaries, every chapter also contains Brain Builder, a unique section with practical exercises and review quizzes that let you practice new skills and test your understanding as you go. This book covers: Types and Operations -- Python's major built-in object types in depth: numbers, lists, dictionaries, and more Statements and Syntax -- the code you type to create and process objects in Python, along with Python's general syntax model Functions -- Python's basic procedural tool for structuring and reusing code Modules -- packages of statements, functions, and other tools organized into larger components Classes and OOP -- Python's optional object-oriented programming tool for structuring code for customization and reuse Exceptions and Tools -- exception handling model and statements, plus a look at development tools for writing larger programs Learning Python gives you a deep and complete understanding of the language that will help you comprehend any application-level examples of Python that you later encounter. If you're ready to discover what Google and YouTube see in Python, this book is the best way to get started.","ISBN_13:9780596554491, ISBN_10:0596554494",True,True,749,Computers,en,http://books.google.com/books/content?id=nEJ-jcYF2fMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,26,4,IN,FOR_SALE,True,3173.88,INR,3173.88,INR,https://play.google.com/store/books/details?id=nEJ-jcYF2fMC&rdid=book-nEJ-jcYF2fMC&rdot=1&source=gbs_api,2007,"""O'Reilly Media, Inc."""
LPOrDwAAQBAJ,python,Programming With Python,The Comprehensive Guide to Mastering Python Programming for Beginners,Vaibhav Gondaliya,"About Book Title: "" Programming With Python: The Comprehensive Guide to Mastering Python Programming for Beginners"" Are you interested in learning Python programming? Look no further than this comprehensive guide, designed for beginners to gain a strong foundation in the language. This book covers everything from installation and setup to All fundamental topics such as Conditioning, Loops, Lists, OOPs, DBMS. With clear explanations, real-world examples, and hands-on exercises, you'll be able to master Python in no time. In this book, you'll learn: - How to set up your Python development environment - Python syntax and basic concepts - Data types, variables, and operators - Conditional statements and loops - File input/output and data processing - Functions, modules, and packages - Object-oriented programming and classes This guide also includes a wide range of exercises and projects to help you practice and apply what you've learned. Whether you're a complete beginner or have some programming experience, ""Programming with Python"" is an essential resource for anyone looking to learn the world's most popular programming language.",,False,True,321,Computers,en,http://books.google.com/books/content?id=LPOrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,True,413,INR,289.1,INR,https://play.google.com/store/books/details?id=LPOrDwAAQBAJ&rdid=book-LPOrDwAAQBAJ&rdot=1&source=gbs_api,2019,Vaibhav Gondaliya
V5KwDwAAQBAJ,python,Let Us Python,"Python Is Future, Embrace It Fast","Yashavant Kanetkar, Aditya Kanetkar","Learn Python Quickly, A Programmer-Friendly Guide DESCRIPTION Most ProgrammerÕs learning Python are usually comfortable with some or the other programming language and are not interested in going through the typical learning curve of learning the first programming language. Instead, they are looking for something that can get them off the ground quickly. They are looking for similarities and differences in a feature that they have used in other language(s). This book should help them immediately. It guides you from the fundamentals of using module through the use of advanced object orientation. KEY FEATURES Strengthens the foundations, as detailed explanation of programming language concepts are given. Lists down all important points that you need to know related to various topics in an organized manner. Prepares you for coding related interview and theoretical questions. Provides In depth explanation of complex topics and Questions. Focuses on how to think logically to solve a problem. Follows systematic approach that will help you to prepare for an interview in short duration of time. WHAT WILL YOU LEARN Data types, Control flow instructions, consoleÊ & File Input/Output Strings, list & tuples, List comprehension Sets & Dictionaries, Functions & Lambdas Dictionary Comprehension Modules, classes and objects, Inheritance Operator overloading, Exception handling Iterators & Generators, Decorators, Command-line Parsing WHO THIS BOOK IS FOR Students, Programmers, researchers, and software developers who wish to learn the basics of Python programming language. Table of Contents 1. Introduction to Python 2. Python Basics 3. Strings 4. Control Flow Instructions 5. Console Input/Output 6. Lists 7. Tuples 8. Sets 9. Dictionaries 10. Ê Functions 11. Ê Modules 12. Ê Classes and Objects 13. Ê Intricacies of Classes and Objects 14. Ê Inheritance 15. Ê Exception Handling 16. Ê File Input/Output 17. Ê Miscellany","ISBN_13:9789388511568, ISBN_10:9388511565",True,True,306,Computers,en,http://books.google.com/books/content?id=V5KwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,True,987.06,INR,493.53,INR,https://play.google.com/store/books/details?id=V5KwDwAAQBAJ&rdid=book-V5KwDwAAQBAJ&rdot=1&source=gbs_api,2019,BPB Publications
rtJCEAAAQBAJ,python,Python for Geeks,Build production-ready applications using advanced Python concepts and industry best practices,Muhammad Asif,"Take your Python skills to the next level to develop scalable, real-world applications for local as well as cloud deployment Key FeaturesAll code examples have been tested with Python 3.7 and Python 3.8 and are expected to work with any future 3.x releaseLearn how to build modular and object-oriented applications in PythonDiscover how to use advanced Python techniques for the cloud and clustersBook Description Python is a multipurpose language that can be used for multiple use cases. Python for Geeks will teach you how to advance in your career with the help of expert tips and tricks. You'll start by exploring the different ways of using Python optimally, both from the design and implementation point of view. Next, you'll understand the life cycle of a large-scale Python project. As you advance, you'll focus on different ways of creating an elegant design by modularizing a Python project and learn best practices and design patterns for using Python. You'll also discover how to scale out Python beyond a single thread and how to implement multiprocessing and multithreading in Python. In addition to this, you'll understand how you can not only use Python to deploy on a single machine but also use clusters in private as well as in public cloud computing environments. You'll then explore data processing techniques, focus on reusable, scalable data pipelines, and learn how to use these advanced techniques for network automation, serverless functions, and machine learning. Finally, you'll focus on strategizing web development design using the techniques and best practices covered in the book. By the end of this Python book, you'll be able to do some serious Python programming for large-scale complex projects. What you will learnUnderstand how to design and manage complex Python projectsStrategize test-driven development (TDD) in PythonExplore multithreading and multiprogramming in PythonUse Python for data processing with Apache Spark and Google Cloud Platform (GCP)Deploy serverless programs on public clouds such as GCPUse Python to build web applications and application programming interfacesApply Python for network automation and serverless functionsGet to grips with Python for data analysis and machine learningWho this book is for This book is for intermediate-level Python developers in any field who are looking to build their skills to develop and manage large-scale complex projects. Developers who want to create reusable modules and Python libraries and cloud developers building applications for cloud deployment will also find this book useful. Prior experience with Python will help you get the most out of this book.","ISBN_13:9781801073356, ISBN_10:180107335X",True,True,546,Computers,en,http://books.google.com/books/content?id=rtJCEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,True,3163.57,INR,3163.57,INR,https://play.google.com/store/books/details?id=rtJCEAAAQBAJ&rdid=book-rtJCEAAAQBAJ&rdot=1&source=gbs_api,2021,Packt Publishing Ltd
iIpGEAAAQBAJ,python,The Big Book of Small Python Projects,81 Easy Practice Programs,Al Sweigart,"Best-selling author Al Sweigart shows you how to easily build over 80 fun programs with minimal code and maximum creativity. If you’ve mastered basic Python syntax and you’re ready to start writing programs, you’ll find The Big Book of Small Python Projects both enlightening and fun. This collection of 81 Python projects will have you making digital art, games, animations, counting pro- grams, and more right away. Once you see how the code works, you’ll practice re-creating the programs and experiment by adding your own custom touches. These simple, text-based programs are 256 lines of code or less. And whether it’s a vintage screensaver, a snail-racing game, a clickbait headline generator, or animated strands of DNA, each project is designed to be self-contained so you can easily share it online. You’ll create: • Hangman, Blackjack, and other games to play against your friends or the computer • Simulations of a forest fire, a million dice rolls, and a Japanese abacus • Animations like a virtual fish tank, a rotating cube, and a bouncing DVD logo screensaver • A first-person 3D maze game • Encryption programs that use ciphers like ROT13 and Vigenère to conceal text If you’re tired of standard step-by-step tutorials, you’ll love the learn-by-doing approach of The Big Book of Small Python Projects. It’s proof that good things come in small programs!","ISBN_13:9781718501249, ISBN_10:1718501242",False,False,433,Computers,en,http://books.google.com/books/content?id=iIpGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,NOT_FOR_SALE,False,0,,0,,,2021,No Starch Press
